Baby Boy Names Registered in 2001                       A,
2,Daegan
1,Daemeain
1,Daemian
1,Daemon
1,Daenen
1,Daevvad
2,Dagan
1,Dagen
2,Dagon
1,Daichi
1,Dainnon
1,Daityn
1,Dakkota-Justice-Glenn
2,Dakoda
36,Dakota
1,Dakotá
5,Dale
3,Dalen
1,Dalin
1,Dallan
26,Dallas
#,Boy  Names 
1,Dallen
1,Dallyn
1,Dallys
1,Dalten
25,Dalton
1,Dalyn
2,Damen
3,Dameon
13,Damian
14,Damien
1,Damien-Lestat
4,Damion
1,Damjan
10,Damon
1,Damyon
1,Dan
6,Dane
1,Danen
2,D'angelo
1,Danial
132,Daniel
1,Daniel-Cody
1,Daniele
1,Danik
1,Danilo
10,Danny
7,Dante
2,Danté
1,Dante'
1,Danvy
1,Daran
2,Darby
1,Darcell
1,Darcy
20,Darian
7,Darien
1,Dario
3,Darion
15,Darius
1,Darnel
5,Darnell
2,Darrell
12,Darren
1,Darrian
2,Darrien
2,Darrin
1,Darrious
5,Darryl
1,Darshil
1,Darson
1,Darstan
1,Darvin
1,Darwaish
1,Darwin
#,Boy  Names 
1,Darwyn
3,Daryl
2,Daryn
1,Dason
1,Dat
1,Datton
1,Daulton
1,Dauntay
2,Daunte
1,Davan
1,Dave
1,Daven
94,David
1,Davide
8,Davin
12,Davis
1,Davon
1,Davyn
2,Dawsen
71,Dawson
1,Dax
1,Daxon
1,Daxson
1,Daxton
2,Daylan
1,Daylen
6,Daylin
2,Daylon
1,Daymion
1,Daymon
5,Dayne
1,Daynell
1,Daynen
1,Dayten
12,Dayton
1,Daytona
1,De
1,Dè
3,Deacon
1,Deakin
9,Dean
1,Deandre
1,Decimus
1,Decklyn
16,Declan
1,Deegan
1,Deepak
1,Defrim
1,Dehl
1,Dejan
1,Dekker
5,Deklan
1,Deklin
1,Del
#,Boy  Names 
1,Delane
2,Delaney
1,Delband
1,Delbert
1,Delray
2,Delvin
1,Demetrie
1,Demetrio
1,Demetriy
3,Deng
2,Denim
1,Denis
13,Dennis
1,Dennon
1,Denny-Ray
3,Denton
6,Denver
2,Denzel
1,Deon
1,Deontay
1,Deonte
1,Dereck
29,Derek
2,Derick
1,Derik
4,Derrick
1,Derrik
1,Deryan
2,Deshaun
7,Desmond
2,Destin
1,Deston
8,Devan
5,Deven
1,Deverell
24,Devin
1,Devlyn
37,Devon
1,Devontae
1,Devron
6,Devyn
1,Dex
6,Dexter
1,Deyem
1,Dezai
2,Dezmond
1,Dharamdeep
1,Dhasan
1,Dhiraj
1,Diallo
1,Diamon
1,Diarmid
1,Didorson
3,Diedrich
#,Boy  Names 
8,Diego
1,Dietrich
1,Dildar
1,Dilen
7,Dillan
21,Dillon
2,Dimitri
1,Dimitrios
4,Dion
1,Dionisi
1,Dipesh
1,Divyraj
1,Dmitri
1,Dolan
2,Domenic
2,Domenico
1,Dominc
25,Dominic
7,Dominick
7,Dominik
5,Dominique
1,Dominyk
2,Domonic
1,Domynic
4,Don
7,Donald
6,Donavan
1,Donavin
1,Donny
17,Donovan
1,Donte
1,Doran
14,Dorian
1,Dorin
10,Douglas
1,Douglin
1,Do-Yoon
1,Drace
1,Dradon
1,Drae
19,Drake
3,Draven
1,Dravin
1,Dravon
1,Draydan
4,Drayden
1,Draydon
1,DrayShanw
1,Draytan
5,Drayton
1,Drayven
1,Drayvon
1,Dre
2,Dreden
#,Boy  Names 
1,Drevan
11,Drew
3,Dreyden
1,Dreyson
3,Dryden
1,Duane
1,Dulé
1,Dumit ru-George
15,Duncan
1,Dunedin
1,Dupree
1,Durai-Colton
27,Dustin
1,Dusty
2,Dustyn
2,Dwayne
1,Dwight
1,Dwyatt
1,Dyeson
189,Dylan
1,Dylan-Claude
1,Dyllan
2,Dyllon
3,Dylon
1,Dymitri
1,Dymon
4,Dyson
1,Dzenan
1,Eaden
1,Eagan
1,Eamon
1,Eamonn
5,Earl
1,Eason
1,Eastin
9,Easton
1,Eathan
1,Eayyan
1,Ebrahim
1,Edan
1,Eddie
1,Eddy
1,Eden
1,Edge
1,Edison
4,Edmond
2,Edmun
1,Edouard
13,Edward
3,Edwin
1,Eidan
1,Ekroop
1,Elarry
11,Eli
#,Boy  Names 
10,Elias
25,Elijah
1,Elijah-Rain
1,Elijiah
1,Elisha
1,Ellio
3,Elliot
2,Elliott
1,Ellis
1,Ellmund
2,Elmer
1,Elon
1,Elvis
1,Elwood
1,Emad
5,Emanuel
1,Emett
1,Emil
1,Émile
1,Emilien
1,Emilio
1,Emily
1,Emmanual
3,Emmanuel
5,Emmett
1,Emmitt
1,Endré
1,Enrico
1,Enrique
1,Eoina
1,Ephram
101,Eric
1,Éric
3,Erich
7,Erick
26,Erik
1,Erikki
1,Erin
1,Erling
1,Ernest
2,Ernie
1,Eron
1,Eros
1,Erran
1,Erwin
1,Eryc
1,Eryn
1,Esa
1,Esecs
2,Eshan
1,Essa
1,Essien
395,Ethan
3,Ethen
#,Boy  Names 
1,Euan
3,Eugene
1,Eutene
132,Evan
1,Evandor
3,Everett
1,Evert
1,Evin
1,Evrett
2,Evyn
6,Ewan
1,Ewen
1,Eyzaah
1,Ezekiel
4,Ezra
1,Faaris
1,Fabian
1,Fadi
1,Fahd
1,Fahren
1,Fairen
1,Faisal
1,Faiz
1,Faizan
1,Faraj
1,Fareed
1,Fares
1,Farhan
1,Faris
1,Farman
1,Farzan
1,Fawad
1,Fazeel
1,Fazion
1,Felice
1,Felipe
5,Felix
3,Félix
1,Fergus
1,Fernando
1,Fieldy
2,Filip
1,Finlay
3,Finley
4,Finn
1,Finnegan
1,Fischer
1,Fletcher
2,Flynn
1,F'Niko
1,Ford
3,Foster
1,Fox
1,Francarlo
#,Boy  Names 
1,Frances
8,Francis
2,Francisco
3,Franco
8,Frank
2,Frankie
2,Franklin
1,Franz
2,Fraser
2,Frazer
6,Frederick
1,Fredericko
1,Fredrick
1,Freedom
2,Friedrich
1,Fritz
1,Furious
1,Furkan
1,Fynn
1,Gaberial
1,Gabrial
66,Gabriel
1,Gaelen
1,Gagandeep
34,Gage
3,Gaige
1,Garen
6,Gareth
2,Garett
1,Garin
1,Garion
1,Garner
2,Garnet
1,Garnett
1,Garren
4,Garret
32,Garrett
1,Garrick
1,Garrin
1,Garrison
1,Garritt
3,Garth
1,Garvin
5,Gary
1,Garyn
1,Gaurav
32,Gavin
1,Gavyn
1,Gawen
1,Gayton
1,Gebran
1,Geddes
1,Gene
1,Geno
#,Boy  Names 
2,Geoffery
4,Geoffrey
2,Geordie
18,George
1,Gerad
1,Gerald
1,Gerard
1,Gerhard
1,Gerhardus
1,Gerik
1,Gerome
1,Gerrit
1,Gerry
1,Gershon
1,Gervis
1,Ghassan
1,Ghullam
1,Ghuyth
1,Gia
1,Giang
1,Gianni
3,Gibson
3,Gideon
1,Gierhardt
1,Gilbert
1,Gilliam
1,Gioacchino
2,Giovanni
1,Giovanny
1,Giulio
1,Giuseppe
2,Glen
1,Glendon
2,Glenn
1,Glody
1,Gonzalo
5,Gordon
1,Goy
1,Gracen
1,Graden
5,Grady
1,Gradyn
1,Grae
5,Graeme
14,Graham
1,Grandin
10,Grant
1,Gratham
5,Grayden
2,Graydon
2,Graysen
13,Grayson
1,Gregorio
25,Gregory
#,Boy  Names 
9,Greyson
1,Grier
2,Griffen
13,Griffin
2,Griffon
2,Griffyn
1,Guage
2,Guerin
1,Guile
1,Gulrayze
2,Gunnar
1,Guranjan
3,Gurdeep
2,Gurdev
1,Gurik
1,Gurinder
2,Gurkaran
1,Gurlove
1,Gurmaan
3,Gurman
1,Gurmehar
1,Gurminder
2,Gurnoor
2,Gurpreet
1,Gursajan
1,Gurshan
1,Gurveer
1,Gurvir
1,Guryodh
3,Guy
1,Gwydion
1,Haashir
1,Habeeb
1,Habil
1,Hackynen
1,Haddin
1,Hadeed
1,Haden
3,Hadi
1,Hafeez
1,Hai-An
1,Haidan
4,Haiden
1,Haider
1,Haidon
1,Haile
1,Hailey
1,Haimol
1,Halen
1,Hameet
3,Hamza
1,Hamzah
1,Hamzi
2,Hani
#,Boy  Names 
1,Hannigan
2,Hans
1,Hanz
1,Har
1,Hardil
1,Hargun
1,Harinder
2,Haris
1,Harjaap
1,Harjiwan
3,Harjot
1,Harkamal
1,Harkirat
1,Harlan
4,Harley
1,Harlyn
1,Harmanbir
1,Harmanjit
1,Harmanpreet
1,Harmantaj
1,Harminder
1,Harmon
2,Harold
1,Harpreet
15,Harrison
1,Harry
1,Harsahaj
1,Harshaan
1,Harshabad
1,Harshpreet
1,Hart
1,Hartej
1,Harvey
1,Harvir
3,Hasan
1,Hashem
1,Hassain
10,Hassan
1,Hassin
1,Hayato
41,Hayden
3,Haydon
1,Haylen
1,Haysyn
1,Heanog
2,Heath
3,Hector
1,Heiko
6,Heinrich
1,Heithen
1,Helal
2,Hendrik
1,Henrik
11,Henry
#,Boy  Names 
2,Herbert
1,Hieron
2,Hilton
1,Himat
1,Hiram
4,Holden
1,Holt
2,Houston
2,Howard
1,Huahai
2,Hubert
13,Hudson
1,Huessin
3,Hugh
1,Hugo
2,Humza
1,Hunain
90,Hunter
1,Hunter-Colby
1,Husein
1,Hussain
1,Hussam
2,Hussein
2,Hussien
1,Huu
1,Huy
2,Hyrum
1,Hyson
2,Iain
35,Ian
1,Ibraheem
4,Ibrahim
1,Ibsaa
1,Ibssa
1,Idris
1,Igor
1,Ihab
1,Ijah
1,Ike
1,Ikjot
1,Ilias
1,Imaan
1,Iman
1,Immanuel
1,Imran
1,Indiana
1,Indvir
1,Indy
1,Ira
1,Irtaza
1,Irteza
2,Irvin
47,Isaac
1,Isaah
#,Boy  Names 
3,Isaak
1,Isadore
37,Isaiah
1,Isaias
2,Ishaan
2,Ishan
1,Is-Haq
1,Ishmael
6,Isiah
1,Islam
1,Ismail
1,Isreal
1,Issa
6,Issac
1,Issac-Alan
7,Ivan
1,Ivursyn
1,Iyad
1,Iyinoluwa
1,Izaac
4,Izaak
1,Izach
1,Izaiah
1,Izak
2,Izaya
1,Izrael
1,Izzudeen
1,J.
1,J.D
1,Jabor
13,Jace
1,Jaceb
1,Jacee
1,Jacen
1,Jacey
93,Jack
2,Jackie
1,Jacksen
79,Jackson
1,Jacksyn
2,Jacky
240,Jacob
1,Jacobb
1,Jacobe
1,Jacobi
1,Jacques
1,Jacubus
2,Jad
1,Jadan
5,Jade
48,Jaden
11,Jadon
5,Jadyn
2,Jaeden
#,Boy  Names 
1,Jaedin
1,Jaedon
1,Jaeger
1,Jaevon
1,Jafferali
4,Jager
2,Jaggar
1,Jagger
2,Jagjot
2,Jagr
1,Jagvir
2,Jaidan
1,Jaideep
7,Jaiden
4,Jaidon
1,Jairo
1,Jairus
1,Jaiveer
1,Jakay
40,Jake
1,Jakeson
1,Jakia
2,Jakin
39,Jakob
1,Jakobee
1,Jakobi
1,Jakobus
1,Jakson
2,Jakub
4,Jalen
4,Jamal
130,James
1,James-Charles
3,Jameson
11,Jamie
4,Jamieson
1,Jamil
1,Jamin
1,Jamison
1,Jan
1,Janan
1,Janson
1,Jaramey
1,Jardin
81,Jared
1,Jaremy
3,Jaren
1,Jaret
1,Jareth
2,Jarett
1,Jarin
1,Jarius
1,Jarmel
9,Jarod
#,Boy  Names 
2,Jarom
7,Jaron
4,Jarred
1,Jarren
3,Jarret
9,Jarrett
1,Jarrid
1,Jarrob
3,Jarrod
1,Jarron
1,Jarryd
4,Jarvis
2,Jaryd
1,Jaryn
1,Jasdeep
1,Jase
1,Jasen
1,Jashan
1,Jashandeep
1,Jasjot
6,Jaskaran
1,Jaskarn
1,Jasmail
1,Jasmeet
56,Jason
1,Jasonjeet
5,Jasper
1,Jasraj
1,Jastanian
1,Jatin
1,Javan
2,Javen
1,Javin
1,Javon
1,Javor
1,Jawad
2,Jax
1,Jaxan
1,Jaxen
17,Jaxon
2,Jaxsen
9,Jaxson
10,Jay
6,Jayce
3,Jaycob
1,Jaydan
1,Jayde
1,Jaydeep
107,Jayden
1,Jayden-Lee
1,Jaydin
6,Jaydon
1,Jayedon
1,Jayin
#,Boy  Names 
1,Jaylen
1,Jaylyn
1,Jaymes
1,Jaymian
1,Jaysen
4,Jayson
1,Jayvin
1,Jazer-Rod
1,JD
2,Jean
1,Jean-Christian
1,Jean-Michel
1,Jean-Mornay
1,Jean-Paul
1,Jeán-Paul
2,Jean-Philippe
1,Jearney
4,Jed
1,Jedidiah
1,Jeevan
1,Jeff
1,Jefferey
1,Jefferson
2,Jeffery
1,Jeffrell
22,Jeffrey
1,Jeice
1,Jens
1,Jerad
2,Jerald
1,Jeramy
1,Jeran
1,Jeraquinn
1,Jered
3,Jeremia
18,Jeremiah
2,Jeremie
1,Jérémie
45,Jeremy
1,Jeremy-Tyler
1,Jeresy
1,Jéric
2,Jericho
1,Jermaine
2,Jerod
6,Jerome
1,Jerrell
1,Jerremy
1,Jerreth
1,Jerric
5,Jerry
1,Jes
1,Jeshaiah
1,Jeshua
#,Boy  Names 
1,Jess
54,Jesse
1,Jessen
1,Jesse-Rafael
6,Jessie
1,Jessy
1,Jestin
2,Jet
5,Jett
1,Jevin
1,Jevins
1,Jhareave
1,Jherome
1,Jideofor
1,Jieng
1,Jihad
7,Jimmy
1,Jimmy-Dean
1,Joachim
3,Joaquin
1,Jobanpartap
1,Jobey
1,Joden
3,Joe
1,Joedan
59,Joel
1,Joël
1,Jöel
1,Joeseph
1,Joesoph
1,Joesph
2,Joey
4,Johan
1,Johann
1,Johannes
1,Johlden
67,John
10,Johnathan
7,Johnathon
1,Johnbosco
8,Johnny
2,Johnson
1,Johnston
1,Jolan
1,Jolbert
3,Jon
38,Jonah
1,Jonah-Simon
1,Jonan
13,Jonas
76,Jonathan
13,Jonathon
1,Jones
1,Jonny
#,Boy  Names 
1,Jonthan
144,Jordan
1,Jordell
1,Jorden
1,Jordie
1,Jordin
7,Jordon
2,Jordy
2,Jordyn
3,Jorge
1,Jörgen
1,Jorian
1,Jorli
1,Jory
1,Jose
5,Josef
89,Joseph
14,Josh
293,Joshua
1,Joshuah
1,Joshua-James
1,Joshveer
1,Joshvir
1,Joshwa
12,Josiah
1,Joss
1,Josuha
1,Jouhan
1,Jovan
1,Joven
1,Jozef
1,Jozhua
1,JR
5,Juan
1,Jubran
2,Judah
3,Jude
1,Judson
1,Judus
1,Jules
26,Julian
1,Julian-Alexander
4,Julien
1,Juliene
1,Julio
7,Julius
3,Jullian
1,Jullien
1,Junaide
1,Juneau
1,Junius
1,Justan
1,Justen
17,Justice
#,Boy  Names 
168,Justin
1,Justis
3,Justus
1,Justyce
3,Justyn
1,Juvraj
1,Juwan
1,J'Yanni
1,Jylee
1,Jysic
1,Kabie
3,Kabir
1,Kabre
1,Kache
1,Kacian
21,Kade
43,Kaden
3,Kadin
1,Kadyn
1,Kaedan
3,Kaeden
8,Kael
1,Kaelam
7,Kaelan
5,Kaelen
4,Kaelin
1,Kagen
1,Kahlia
1,Kahlo
15,Kai
2,Kaidan
14,Kaiden
2,Kaidon
1,Kaidri
2,Kail
1,Kailash
1,Kaile
2,Kaileb
1,Kailen
1,Kailer
1,Kailor
1,Kailym
1,Kaine
2,Kaison
2,Kaito
1,Kaj
1,Kaje
1,Kalder
22,Kale
40,Kaleb
1,Kãleb
1,Kaleel
1,Kalem
4,Kalen
#,Boy  Names 
1,Kaleo
1,Kalhelm
2,Kalib
1,Kalid
1,Kalied
1,Kalin
1,Kallen
2,Kallum
1,Kalo
1,Kalub
1,Kalum
1,Kalven
1,Kalvin
1,Kalyn
1,Kamel
1,Kamen
1,Kameran
2,Kameron
1,Kamil
1,Kamrin
11,Kane
1,Kanyon
1,Kapil
1,Kar
1,Karam
1,Karamvir
4,Karan
1,Karandeep
1,Karanjot
2,Karim
3,Karl
1,Karlos
2,Karsen
8,Karson
1,Karter
1,Kartik
1,Kasen
2,Kasey
6,Kash
1,Kashif
1,Kasper
4,Kassem
1,Kasten
1,Kato
1,Kavery
1,Kavin
1,Kavishna
1,Kaya
1,Kayaljeet
1,Kaydan
14,Kayden
1,Kayen
1,Kayl
1,Kaylan
#,Boy  Names 
5,Kayle
3,Kayleb
2,Kaylen
1,Kaylib
1,Kaylin
1,Kaylobe
1,Kaylon
2,Kaylub
1,Kaylum
1,Kaymen
1,Kaysen
1,Kaysideon
1,Kayson
1,Keadyn
13,Keagan
2,Keagen
1,Keaghan
1,Kean
1,Keanan
1,Keane
1,Keanon
4,Keanu
1,Kear
1,Kearton
14,Keaton
34,Keegan
1,Keein
1,Keel
2,Keelan
1,Keelin
1,Keeling
14,Keenan
1,Keenen
1,Keenon
1,Keeran
1,Keerat
1,Keeshon
1,Keeton
1,Keeyan-Ali
1,Kegan
1,Kegean
1,Keifer
3,Keigan
1,Keigen
1,Keil
1,Keipher
4,Keiran
1,Keisean
8,Keith
1,Kela
2,Kelan
2,Keldon
1,Kellan
2,Kellen
#,Boy  Names 
1,Kelley
1,Kells
5,Kelly
1,Kelly-Rae
3,Kelsey
1,Keltan
2,Kelten
6,Kelton
1,Kelty
8,Kelvin
1,Keman
1,Kemp
2,Ken
1,Kenan
1,Kendal
1,Kendall
1,Kendel
1,Kendell
1,Kendle
1,Kendrick
1,Kenn
1,Kennedi
1,Kennedy
8,Kenneth
6,Kenny
6,Kent
4,Kenton
1,Kenya
3,Keon
1,Kerrick
1,Kerry
1,Keshaun
1,Kessler
1,Keston
1,Keto
1,Ketsana
58,Kevin
1,Kevindeep
1,Keyano
1,Keygan
1,Keynan
1,Keyston
1,Khael
1,Khalaf
1,Khaldoon
1,Khale
4,Khaled
1,Khalib
3,Khalid
3,Khalil
1,Khall
1,Khang
1,Khari
1,Khaya
#,Boy  Names 
1,Khishan
1,Khoi
1,Khrystian
1,Khurrum
1,Khyver
4,Kian
1,Kiano
1,Kiedon
1,Kiegan
1,Kielan
1,Kien
1,Kienan
2,Kier
26,Kieran
3,Kiernan
1,Kierran
1,Kieth
1,Killian
1,King
1,Kingston
1,Kip
3,Kirby
1,Kiril
3,Kirk
1,Kirklan
1,Kirklin
1,Kirklind
1,Kiron
1,Kiros
1,Kit
1,Kiya
1,Kiyan
1,Kiyoshia
1,Kizik
2,Kjell
1,Knox
2,Koal
1,Koalby
26,Kobe
1,Kobi
1,Kobie
9,Koby
1,Kodan
1,Kodey
1,Kodi
1,Kodie
11,Kody
1,Koen
1,Kohen
3,Kohl
1,Koji
1,Kok
1,Kolbie
16,Kolby
#,Boy  Names 
1,Kolbyn
8,Kole
1,Kolsen
1,Kolten
1,Koltin
10,Kolton
1,Koltyn
1,Kon
1,Kona
1,Konary
1,Kong
3,Konner
4,Konnor
1,Konor
4,Konrad
1,Konstantinos
1,Kor
1,Korben
4,Korbin
1,Korbyn
1,Kord
1,Korey
1,Korman
