Baby Girl  Names Registered in 2004,
40,Cadence
1,Cadense
1,Cadey
1,Cadie
1,Cadyn
1,Cadynce
1,Caedance
3,Caelan
1,Caelee
1,Caelen
1,Caelyn
1,Cagney
2,Caidence
1,Caidyn
1,Caienna
5,Cailey
1,Caili
1,Cailie
2,Cailin
1,Cailley
3,Cailyn
1,Cailynn
1,Cailynne
1,Caisha
24,Caitlin
25,Caitlyn
1,CaitLyn
1,Caitlynn
1,Cala
8,Caleigh
5,Cali
1,Calida
1,Calissa
2,Calista
#,Baby Girl  Names
1,Caliya
3,Calla
2,Calleigh
1,Calley
2,Calli
1,Callia
14,Callie
1,Callista
1,Callum
1,Cally
1,Callyn
1,Caly
1,Calyn
1,Calysta
1,Cambrie
5,Cameron
2,Cameryn
1,Camie
3,Camila
1,Camile
1,Camilla
7,Camille
1,CamilleElena
1,Camrin
1,Camry
20,Camryn
1,Camrynn
2,Candace
2,Candice
1,Candy
1,Caprice
2,Cara
1,Caren
2,Carina
2,Caris
1,Carisa
8,Carissa
3,Carla
1,Carlah
1,Carlea
4,Carlee
2,Carleigh
1,Carli
5,Carlie
1,Carlin
1,Carlissa
17,Carly
1,Carmalieghta
1,Carmandy
1,Carmel
1,Carmelina
#,Baby Girl  Names
1,Carmella
17,Carmen
1,Carmena
1,Carmendi
1,Carmijoy
1,Carmin
1,Carmyn
1,Carolann
1,CaroleAnne
1,Carolina
9,Caroline
5,Carolyn
1,Carolyne
1,Carra
2,Carrie
1,Carrisa
3,Carson
6,Carys
1,Caryse
3,Casandra
8,Casey
1,Casilda
1,Cassadi
2,Cassady
34,Cassandra
3,Cassara
3,Cassia
35,Cassidy
10,Cassie
1,Cassyah
2,Catalina
1,Catarina
5,Cate
1,Catelyn
1,Catharina
21,Catherine
1,CatherineRhad
2,Cathrine
4,Cathy
1,Catiana
2,Catriona
1,Catryn
1,Cayden
3,Caydence
1,Caydince
2,Cayla
1,Caylan
1,Caylee
2,Cayleigh
2,Cayley
2,Caylie
#,Baby Girl  Names
1,Caylin
1,Ceanna
1,Ceara
1,Cecila
3,Cecilia
2,Cecily
1,Cedar
7,Ceili
1,Celecia
3,Celeste
3,Celia
9,Celina
2,Célina
6,Celine
1,Céline
1,Cemre
1,Cera
1,Cerin
1,Cerys
1,Cetera
1,CeydaAnne
1,Cezara
1,Cezary
1,Chaden
1,Chaelan
1,ChaeLynn
1,Chafia
1,Chaley
1,Chaltu
1,Chana
1,Chanaé
1,Chance
1,Chandandeep
1,Chandell
2,Chandra
4,Chanel
1,Chanelle
1,Channdene
4,Chantal
1,Chantale
2,Chanté
6,Chantel
1,Chantell
4,Chantelle
2,Chara
1,Charbelle
2,Charis
1,Charisma
1,Charissa
1,Charisse
3,Charity
#,Baby Girl  Names
1,Charla
1,Charlaine
2,Charlee
2,Charlee
1,Charleese
5,Charleigh
1,Charlen
1,Charlene
1,Charlette
1,Charley
1,Charleze
3,Charli
9,Charlie
3,Charlise
1,Charliza
12,Charlize
27,Charlotte
4,Charly
1,Charlysse
3,Charmaine
1,Charys
3,Chase
1,Chasey
2,Chassidy
1,Chastity
1,Chatendeep
1,Chatham
1,Chavonne
1,Chaya
1,Chayah
1,Chayden
1,ChayLee
1,Chaylei
1,Chaymaa
4,Chayse
1,Chelan
1,Chelcea
31,Chelsea
5,Chelsey
1,Chelsi
2,Chelsy
1,Chen
1,Chenay
1,Chenelle
1,Cher
1,Cheresa
1,CherieLynne
1,Cherilynne
1,Cherish
1,CherishLee
1,Cheryl
#,Baby Girl  Names
1,Chesney
1,Chevon
1,Cheyanna
13,Cheyanne
1,CheyanneRayleenAaliyah
1,Cheyene
22,Cheyenne
1,Chi´
1,Chiann
1,Chianne
7,Chiara
1,Chidinma
1,Chigoa
1,Chionti
1,Chithmi
1,Chitleen
1,Chiyo
99,Chloe
4,Chloé
4,Chloë
1,ChloeAnne
1,Chloee
1,Chloée
1,Chole
4,Christa
1,Christel
1,Christelle
1,Christey
1,Christiane
1,Christianna
2,Christie
32,Christina
12,Christine
1,Christobel
1,Christy
1,Chrizel
1,Chyann
2,Chyanna
1,Chyanne
2,Cianna
1,Ciannait
13,Ciara
1,Cidney
1,Cielo
1,Cienna
1,Ciera
7,Cierra
8,Cindy
1,Cinney
1,Ciska
1,Claila
#,Baby Girl  Names
1,Clair
40,Claire
13,Clara
6,Clare
3,Clarice
1,Clarine
6,Clarissa
1,Clasina
7,Claudia
1,Claudine
1,Clavdia
1,Cleo
2,Cloe
1,Cloria
1,Cloudia
1,Cobie
1,Codi
1,Cody
1,Colbey
2,Colby
1,Colesie
2,Colleen
1,Collette
1,Colyssa
1,Constadina
1,Constance
1,Contessa
1,Cooper
8,Cora
1,Corah
2,Coral
2,Coralee
1,Corali
1,Coralie
1,CoralLee
3,Cordelia
1,Cori
1,Corilee
1,Corina
1,Corissa
1,Cornelia
2,Corrina
1,Cortney
1,Cory
1,Coryl
1,Corynn
1,Cosette
32,Courtney
1,Cree
1,Creeann
1,Creedan
#,Baby Girl  Names
1,Creesha
1,Crimson
1,Crislyn
1,Cruz
1,Crysta
8,Crystal
1,Cyan
1,Cydnee
8,Cynthia
1,Daci
1,Dacia
1,Daedrie
1,Daeghan
1,Daelene
1,Daelin
4,Daelyn
1,DaeLynn
1,Daelynn
1,Daelynne
1,DaeShana
1,Dafna
1,Dagmar
3,Dahlia
1,Daija
1,Dailiana
1,Dailynn
1,Daira
1,Daisha
5,Daisy
1,Daiya
1,Dajsha
1,Dakkota
1,Dakoda
33,Dakota
1,Dalaney
1,Dalayna
1,Dalena
1,Daley
2,Dalia
1,Daliah
3,Dallas
1,Dallis
1,Dally
1,Daly
1,Dalya
1,Dalyce
11,Dana
1,Danaca
8,Danae
2,Danaya
1,Dané
#,Baby Girl  Names
1,Danei
2,Danelle
2,Dani
1,Dania
16,Danica
1,Danice
1,Danie
8,Daniela
6,Daniella
48,Danielle
19,Danika
1,Daniley
1,DaniquaCaydence
1,Danison
3,Danna
1,Dannan
1,Dannaya
3,Danni
1,Dannia
1,Dannica
1,Dannie
1,Danté
4,Danya
2,Danyka
1,DaPanga
5,Daphne
1,Daphney
4,Dara
2,Darah
1,Daras
1,Darbi
4,Darby
1,Darcella
1,Darci
1,Darci
2,Darcie
1,Darcy
1,Daria
3,Darian
3,Darien
1,Darilyn
3,Darlene
1,DarraAnn
1,Darragh
4,Darrah
1,Darrian
2,Daryl
2,Dasha
1,Dashanti
1,Davanna
1,Daveena
#,Baby Girl  Names
5,Davina
1,Davis
1,Davonté
5,Dawn
1,Dawna
1,Dawnica
4,Dawson
1,Dawsyn
1,Daxton
2,Daya
1,Dayanna
1,Dayleighn
2,Daylin
3,Daylyn
1,Dayn
5,Dayna
1,Daynien
1,Dayton
1,Dayza
5,Deanna
1,Debbie
1,Debora
2,Deborah
1,Debra
1,Deepali
1,Deeya
1,Deirdre
1,Deklynn
3,Delaina
1,Delaine
1,Delainee
1,Delaiza
1,Delanee
30,Delaney
1,Delayna
1,Deleani
1,Delesha
1,Delia
1,Deliah
2,Delilah
1,Delrae
2,Demaris
1,Demi
3,Denae
1,Denai
1,Denali
1,Denasia
1,Denay
1,Denayah
1,Deneille
1,Deni
#,Baby Girl  Names
1,Denica
3,Denise
1,Denisha
1,Denista
1,Denna
2,Denya
1,Denym
1,Derek
1,Derinda
1,Desarae
1,Desaray
3,Desirae
1,Desiray
10,Desiree
1,Desireé
2,Desirée
1,Désirée
1,Desma
1,Dessa
1,Desteny
2,Destiney
1,Destini
24,Destiny
1,Devan
1,Devin
5,Devon
1,Devonne
1,Devorah
1,Devvyn
5,Devyn
2,Devynn
1,Dezarias
1,Dezirae
1,Deziree
1,Dezray
1,Dhanika
1,Dharsana
1,Dhavneet
1,Dia
8,Diana
5,Dianne
1,Diedra
1,Diljot
1,Dilpreet
1,Dilyn
1,Dilynn
1,Dimetra
1,Dimitria
1,Dina
1,Dineka
1,Dinna
#,Baby Girl  Names
1,Diona
1,Dior
1,Dipinder
1,Dirina
1,Disha
1,Divjot
1,Divora
1,Divyjot
2,Dixie
3,Diya
1,Doaa
1,Doah
1,Doha
5,Dominique
2,Donna
1,Dora
1,Doreen
1,Dorian
1,Dorielle
1,Doroteiana
2,Dorothy
1,Dounya
1,Dove
1,Dovleen
1,Drae
1,Draven
1,Drea
1,DreAnna
1,Dreanna
5,Drew
1,Dreya
1,Dru
1,Drue
1,Dua
1,Duaà
1,Dureti
1,Duriya
1,Dustyne
1,Duyen
6,Dylan
1,Dylana
1,DylanAlexandria
1,Dylann
1,Dyllan
1,Dylon
1,Eagle
1,Easton
1,Eboney
1,Ebony
1,Ebtehage
3,Echo
#,Baby Girl  Names
1,Echoe
1,Eda
1,Edan
19,Eden
1,Edie
1,Edina
4,Edith
1,Edma
1,Edom
2,Edyn
1,Eera
1,Eesha
1,Ehra
1,Eideann
3,Eileen
1,Eileigh
1,Eilidh
1,Eilis
1,Eílísh
1,Ekamvir
1,Eknoor
1,Ela
1,Elahe
4,Elaina
3,Elaine
1,Elan
1,Elana
1,Elandra
1,Elanna
1,Elanor
2,Elayna
1,Elcie
1,Elda
4,Eleanor
1,Eleazandra
1,Electra
1,Eleena
12,Elena
1,Eleonor
1,Elese
1,Elethia
1,Elexie
1,Elexis
1,Elexus
1,Elia
1,Élia
2,Eliana
1,Éliane
1,Élianne
1,Elicia
1,Elina
#,Baby Girl  Names
1,Eliona
1,Eliot
3,Elisa
4,Elisabeth
17,Elise
3,Élise
4,Elisha
2,Elissa
1,Elita
1,Elivia
9,Eliza
1,Elizabete
87,Elizabeth
1,Elizah
1,Elizjia
144,Ella
1,Ellaine
1,EllaJayne
11,Elle
1,Elleisha
1,Elleiya
7,Ellen
1,Ellery
1,Ellexia
1,Elley
1,Elleytte
1,Elli
11,Ellie
3,Elliot
1,Elliott
1,Ellisha
1,Ellona
1,Ellora
1,Elly
2,Elma
1,Elmira
2,Elodie
1,Elody
7,Elora
1,EloraDanan
2,Elouise
1,Élouise
2,Elsa
1,Elshia
2,Elsie
1,Elvera
1,Elvina
10,Elyse
2,Elysha
1,Elyshia
1,Elysia
#,Baby Girl  Names
5,Elyssa
1,Elyze
2,Ema
2,Emaan
1,Emalee
3,Eman
1,Emann
1,Embarka
1,Ember
1,EmberLynn
3,Emelia
2,Emelie
2,Emelyn
2,Emerald
1,Emeren
2,Emerson
1,Emersynn
4,Emery
1,EmeryVictoria
1,Emese
2,Emi
2,Emiko
4,Emilee
1,Emileen
1,Emileigh
2,Emiley
1,Emili
3,Emilia
12,Emilie
1,Émilie
1,Emillie
1,Emilly
258,Emily
1,EmilyAnn
1,EmilyAnne
1,EmilyMarie
1,Emina
272,Emma
1,Emmajay
1,EmmaJoan
1,EmmaLeah
4,Emmalee
3,EmmaLee
2,EmmaLeigh
1,EmmaLisa
1,EmmaLynn
1,EmmaMae
2,EmmaMarie
1,Emmanuella
1,Emmanuelle
1,EmmaRae
#,Baby Girl  Names
1,Emme
3,Emmeline
1,Emmersyn
1,Emmilyn
1,Emmo
4,Emmy
1,Emory
1,Emry
1,Enette
1,Enna
1,Enyce
1,Éowyn
1,Erdine
1,Ereka
28,Erica
5,Ericka
34,Erika
1,Erikah
1,Erikka
47,Erin
1,Erina
1,Erinn
1,Ernestine
2,Eryka
3,Eryn
2,Erynn
1,Erynne
3,Esha
1,Eshaal
3,Eshal
2,Esme
1,Esmé
1,Essabella
1,Essi
1,Essie
1,Estel
2,Estella
1,Estelle
17,Esther
1,Estrella
2,Ethne
1,Eulleya
1,Euna
21,Eva
1,Evalien
1,Evalyn
1,Evan
1,Evana
2,Evangeline
1,Evann
1,Evanne
#,Baby Girl  Names
1,Evanthia
11,Eve
1,Eveangelina
1,Eveie
1,Evelina
16,Evelyn
1,Evelyne
2,Evelynn
1,Evelynne
1,Eveneve
1,Everhett
1,Evita
1,Evvia
1,Evyan
1,Eyram
1,Eyrica
1,Ezinne
1,Ezrae
1,Fadya
1,Fae
1,Faedra
1,Faelena
1,Faina
59,Faith
1,Faiza
1,Falena
4,Fallon
2,Falyn
1,Faoja
4,Farah
1,Farida
1,Fariha
4,Farrah
2,Fatema
10,Fatima
1,Fatimah
2,Fatma
1,Fauna
3,Fawn
1,Faydra
3,Fayth
2,Faythe
1,Fazila
1,Feather
1,Feaven
1,Feiyunn
3,Felicia
2,Felicity
1,Feonilla
1,Fern
1,Fia
#,Baby Girl  Names
1,Finah
5,Finley
1,Finn
1,Finnley
9,Fiona
1,Fiorella
1,Fira
1,Fiza
1,Flora
1,Florence
1,Folashadé
1,Fosia
3,Frances
3,Francesca
1,Francis
1,Franciska
1,Franka
1,Frédérique
1,Freedom
1,Fresta
2,Freya
2,Freyja
2,Frieda
1,Fuzuki
1,Fyn
1,Fynivarra
1,Gabby
1,Gabriel
9,Gabriela
1,Gabriele
1,Gabriell
24,Gabriella
1,GabriellaLaine
51,Gabrielle
1,Gagan
1,Gaganpreet
1,Gage
1,Galina
1,Gayatri
1,Ge
1,Geanna
1,Geena
1,Gelsey
1,Gemini
8,Gemma
1,Gena
1,Genene
1,Geness
1,Genessie
1,Genève
1,Genevie
#,Baby Girl  Names
10,Genevieve
3,Geneviève
2,Genna
1,Genviève
31,Georgia
1,GeorgiaLee
1,Georgiavee
6,Georgina
1,Geralynn
1,Geri
1,Gertrude
1,Getruda
1,Ghadah
1,Ghalyah
2,Gia
1,Giada
1,Gill
13,Gillian
2,Gina
1,Ginelle
1,Ginette
2,Ginger
1,Giordana
1,Giorgia
1,Giovanna
3,Giselle
2,Giulia
1,Giwa
1,Glasha
5,Gloria
1,Glory
127,Grace
1,GraceAnn
1,GraceAnne
2,Gracelyn
1,GraceLynn
1,Gracen
1,Gracey
1,Graci
2,Gracia
1,Graciana
23,Gracie
1,Graciela
1,GracieLee
1,Graciella
1,Gracii
1,Gracin
1,GracyLynn
1,Graeci
1,Grasyn
1,Gratiana
#,Baby Girl  Names
2,Grayce
2,Graycee
1,Graycen
1,Graycin
1,Graysen
2,Greer
4,Greta
1,Grey
1,Greyce
1,Griffin
1,Guinevere
1,Gurjot
1,Gurkanwal
3,Gurleen
1,Gurman
1,Gurneer
1,Gurneet
1,Gurnoor
1,Gurshan
1,Gursimran
1,Gurvir
2,Gwen
1,Gwendalyn
4,Gwendolyn
1,Gwenfryn
1,Gwenivere
1,Gwenna
2,Gwenyth
3,Gwyneth
1,Gypsy
1,Hadence
2,Hadia
1,Hadiqa
1,Hadiya
1,Hadley
1,Haeley
2,Hafsa
1,Hafsah
1,Hafza
1,Haidr
1,Haifa
1,Hailea
8,Hailee
143,Hailey
1,HaileyFaith
6,Hailie
1,Haille
1,Hailley
4,Haily
1,Haiqa
1,Hajra
#,Baby Girl  Names
1,Hakena'Lei
1,Hala
1,Halee
1,Haleema
1,Halen
2,Halena
51,Haley
4,Hali
1,Halie
4,Halima
2,Halimah
1,Halina
1,Halinka
1,Halla
12,Halle
1,Hallé
1,Hallee
1,Halli
9,Hallie
1,Hally
1,Halona
1,Han
8,Hana
1,Hanaa
3,Hanah
1,Hanan
27,Hanna
175,Hannah
1,HannahLee
1,HannahMarie
1,Harini
1,Harjap
2,Harjot
1,Harkhrit
1,Harkhushi
1,Harkiran
1,Harlee
9,Harleen
4,Harley
1,Harly
2,Harman
1,Harmani
1,Harmnoy
1,Harmonie
10,Harmony
1,Harneet
1,Harnish
1,Harnoor
1,Harrah
1,Harriet
1,Harsanj
#,Baby Girl  Names
1,Harshdeep
1,Harsheen
1,Harshika
1,Harsimran
1,Harsimrat
1,Haruna
1,Haruyo
1,Hattie
1,Havanna
3,Haven
5,Hayden
1,Haylea
9,Haylee
1,Hayleigh
1,Haylene
42,Hayley
1,Hayli
4,Haylie
1,Hazea
10,Hazel
14,Heather
1,HeavenLeigh
4,Heba
1,Heediya
17,Heidi
1,Heizel
2,Helaina
1,Helanna
11,Helen
5,Helena
2,Helene
1,Hema
1,Hend
1,Henna
1,Hennesey
1,Hennessey
2,Hera
1,Hermela
1,Hermon
1,Hesther
1,Heyab
4,Hiba
1,Hickory
1,Hikaru
2,Hilary
2,Hilda
1,Hillary
1,Himanshi
1,Hina
1,Hira
1,Hirah
#,Baby Girl  Names
1,Hiywot
1,Hlena
1,Hoi
1,Holland
1,Hollie
1,Hollis
25,Holly
1,HollyAnne
2,Honey
1,Hong
27,Hope
1,Hopelene
1,HopeTeanna
1,Howrah
