Baby Boy Names Registered in 2000                       A,
1,Conall 
2,Conlan 
2,Conlen 
1,Conley 
1,Connar 
28,Conner 
1,Connlan 
1,Connolly 
128,Connor 
1,Conoll 
13,Conor 
7,Conrad 
1,Conroy 
12,Cooper 
1,Corben 
12,Corbin 
1,Corbon 
1,Corby 
1,Corbyn 
1,Cordain 
3,Co rdell 
8,Corey 
1,Corin 
2,Cormac 
1,Corneillius 
#,Boy  Names 
5,Cornelius 
1,Cornell 
1,Corni 
3,Corny 
1,Corrigan 
1,Cort 
1,Corwin 
12,Cory 
1,Courtney 
1,Coy 
9,Craig 
1,Creden 
1,Creed 
1,Creedyn 
1,Creegan 
1,Creeson 
1,Creighton 
1,Cristian 
1,Crouger 
1,Cruise 
1,Cruz 
5,Cullen 
1,Curran 
1,Curren 
22,Curtis 
1,Curtis - Joseph 
1,Cydney 
1,Cygnus 
1,Cyle 
1,Cyles 
1,Cylus 
1,Cyr 
3,Cyrus 
1,Dacien 
1,Dade 
1,Daden 
1,Daelen 
1,Daemen 
1,Dailyn 
2,Dakoda 
24,Dakota 
4,Dale 
1,Dalen 
1,Dallace 
3,Dallan 
22,Dallas 
2,Dallen 
#,Boy  Names 
4,Dallin 
4,Dallyn 
1,Daltan 
1,Daltin 
24,Dalton 
3,Dalyn 
2,Daman 
1,Damein 
1,Dameion 
1,Damen 
15,Damian 
15,Damien 
31,Damon 
5,Dan 
1,Dana 
3,Dane 
2,D'Angelo 
3,Danial 
1,Danick 
180,Daniel 
1,Danilo 
2,Danny 
15,Dante 
1,Dantek 
4,Danti 
1,Danyael 
1,Danyal 
1,Danyon 
1,Darby 
6,Darcy 
1,D'Arcy 
1,Dareh 
1,Darek 
1,Daren 
20,Darian 
6,Darien 
3,Darin 
1,Dario 
2,Darion 
7,Darius 
1,Dariyne 
1,Darko
1,Darnell 
2,Darrel 
20,Darren 
2,Darrian 
1,Darrick 
#,Boy  Names 
3,Darrien 
1,Darrin 
2,Darryl 
1,Dart agnan 
1,D'Artangon 
1,Dartanian 
1,Dartanin 
4,Darwin 
1,Daryl 
1,Dat 
1,Daunte 
1,Daunti 
1,Davani 
2,Dave 
1,Davey 
95,David 
4,Davin 
15,Davis 
1,Davon 
1,Davor - Josh 
3,Davyn 
2,Dawood 
1,Dawsen 
87,Dawson 
2,Dax 
1,Dayce 
2,Daylan 
6,Daylen 
3,Daylin 
4,Daylon 
1,Daymond 
6,Dayne 
1,Daysen 
2,Dayson 
1,Dayten 
1,Daytin 
8,Dayton 
1,Daytona 
1,Dazznick 
2,Deacon 
1,Deacon - Thomas 
2,Deacun 
8,Dean 
1,Deandre 
8,Declan 
1,Deejay 
1,Deen 
#,Boy  Names 
1,Dekiah 
2,Deklan 
3,Delaney 
1,Delbert 
1,Delmer 
1,Delsin 
1,Delw in
1,Demetri 
1,Demitrios 
1,Deneir 
3,Deng 
1,Denis 
9,Dennis 
2,Denny 
1,Denon 
5,Denver 
6,Denzel 
1,Denzyl 
1,Deon 
1,Dereck 
28,Derek 
6,Derian 
1,Deric 
2,Derick 
1,Derien 
1,Derrek 
4,Derrick 
1,Derrien 
1,Dervin 
1,Deryk 
1,Deshawn 
1,Deslynd 
7,D esmond 
1,Destin 
1,Destyn 
1,Dev 
2,Devan 
5,Deven 
1,Deveron 
1,Devery 
36,Devin 
1,Devinn 
4,Devlin 
55,Devon 
1,Devoni 
1,Devun 
6,Devyn 
#,Boy  Names 
5,Dexter 
1,Dexton 
1,Dezmon 
3,Dezmond 
1,Dhruw 
1,Dick 
11,Diego 
1,Diing 
1,Diljot 
1,Dilkaran 
7,Dillan 
1,Dil len 
18,Dillon 
5,Dilraj 
2,Dimitri 
1,Dino 
1,Dion 
1,Dionysios 
1,Diquarrie 
3,Dirk 
1,Dishen 
1,Dixon 
1,Dlam 
3,Dmitri 
1,Dolan 
1,Doltan 
2,Domanic 
2,Domanick 
1,Domenic 
20,Dominic 
6,Dominick 
2,Dominik 
1,Dominique 
1,Don 
1,D'on 
9,Donald 
4,Dona van
2,Donavin 
4,Donavon 
1,Donivan 
1,Donny 
15,Donovan 
1,Doran 
10,Dorian 
1,Dorien 
2,Dorin 
1,Dorion 
#,Boy  Names 
1,Dorran 
1,Dorrian 
1,Doryen 
9,Douglas 
1,Dovid 
1,Dra 
1,Draedon 
1,Draeton 
1,Draiden 
1,Draigan 
4,Drake
2,Draven 
1,Dray 
7,Drayden 
1,Draydn 
1,Draydon 
1,Drayke
2,Drayson 
1,Draythany 
2,Drayton 
1,Dre 
1,Dreden 
1,Dredon 
1,Dregan 
10,Drew 
1,Drey 
2,Dreydin 
1,Dreydon 
1,Dreytin 
3,Dreyton 
2,Dri 
1,Dropen 
4,Dryden 
1,Duke
1,Dulton 
24,Duncan 
1,Durwin 
1,Dusten 
37,Dustin 
1,Dusty 
1,Dustyn 
1,Dutch 
2,Dwayne 
5,Dwight 
1,Dwyer 
1,Dyami 
1,Dyce 
#,Boy  Names 
147,Dylan 
1,Dylano 
1,Dylian 
2,Dyllan 
1,Dyllon 
3,Dylon 
1,Dyson 
1,Eagle 
1,Eamon 
1,Eamonn 
1,Eashver 
1,Eason 
1,Eastin 
10,Easton 
1,Ebade 
1,Edan 
2,Edgar 
2,Edison 
2,Edmond 
2,Edmund 
3,Edric 
1,Edrick 
1,Eduardo 
14,Edward 
3,Edwin 
1,Ehab 
1,Ehan 
1,Elan 
2,Eldon 
1,Eldrick 
6,Eli 
2,Elia 
1,Eliada 
1,Eliah 
1,Elian 
15,Elias 
1,Elie 
1,Elier 
1,Eligah 
33,Elijah 
1,Eliot 
1,Elisha 
1,Ellijah 
6,Elliot 
3,Elliott 
1,Elliotte 
1,Elmir 
#,Boy  Names 
1,Elois 
1,Elric 
2,Elton 
4,Elvis 
1,Elwin 
1,Elyas 
1,Elyon 
1,Elyott 
1,Eman 
1,Emanuel 
1,Emen 
2,Emery 
1,Emil 
2,Emile 
1,Emilio 
1,Emir 
1,Emma 
3,Emmanuel 
5,Emmett 
1,Emmi 
3,Emmitt 
1,Emon 
1,Emory 
1,Emroy 
1,Ender 
1,Endrit 
2,Enrique 
2,Enzo 
1,Erasmus 
149,Eric 
3,Erich 
3,Erick 
27,Erik 
2,Erin 
1,Erkki 
4,Ernest 
1,Erwin 
1,Esean 
2,Eston 
1,Etan 
266,Ethan 
1,E'than 
1,Ethane 
1,Ethyn 
2,Etienne 
1,Ettienne 
1,Euan 
#,Boy  Names 
3,Eugene 
117,Evan 
1,Evander 
1,Everest 
6,Everett 
1,Everitt 
1,Evert 
1,Evret 
3,Ewan 
1,Eyass 
1,Eyrk 
1,Ezaray 
1,Ezeiel 
2,Ezekiel 
6,Ezra 
1,Fahad
1,Fajr
1,Falon 
1,Fareed 
1,Faren 
2,Farhan
1,Farren 
1,Fathallah 
1,Fatmir 
1,Faust
1,Fawad 
1,Fayez 
1,Federico 
1,Felix
1,Feraas 
1,Fernando 
1,Ferris 
1,Filip
1,Filipe
1,Finlay
4,Finn
1,Firoz 
1,Fisayo 
1,Flavian
1,Fletcher 
1,Floorens 
1,Flynn
1,Foda 
2,Foster 
1,Fox 
2,Francesco 
6,Francis 
#,Boy  Names 
1,Francise 
1,Francois 
1,Frangois 
14,Frank
2,Franz
1,Frazer 
1,Frazier 
1,Fred 
1,Freddie 
1,Frederic 
2,Frederick 
1,Frederique 
1,Fredrick 
1,Fredrik
1,Freeman 
1,Fridiric
1,Fullbright
1,Furmaan
2,Fynn 
1,Fynnis 
1,Gabe 
1,Gabrial
42,Gabriel 
2,Gabriele 
1,Gabryel 
2,Gagandeep 
1,Gaganjot 
19,Gage 
1,Gaige 
1,Ganesh 
1,Garang 
1,Garbo 
1,Garek 
6,Gareth 
3,Garett 
1,Garin
2,Garren 
4,Garret 
24,Garrett 
1,Garrick 
1,Garris
4,Garrison 
3,Garth 
1,Garvin
8,Gary 
1,Garyn 
1,Gaspar 
#,Boy  Names 
1,Gates 
1,Gatkuoth 
1,Gatlin 
2,Gauge 
35,Gavin
1,Gavyn 
1,Gearyn 
1,Gellen 
1,Gen 
1,Genesis 
1,Genevei 
1,Gent
1,Geoff 
1,Geofferey 
2,Geoffrey 
1,Geordan 
1,Geordy 
14,George 
1,Geovanni 
1,Geovanny 
6,Gerald 
1,Geran 
1,Gericko
2,Germaine 
1,Gerrik
1,Gerry 
1,Ghanem 
1,Ghulam
1,Gia
1,Gianluca
1,Gianpaolo 
1,Gibb
3,Gideon 
1,Gierhard 
3,Gilbert
1,Gilles 
2,Gino 
2,Giovanni
1,Gireesh 
2,Giuseppe 
3,Glen 
3,Glenn 
1,Glyn 
1,G'Mari 
1,Godfrey 
1,Gorav 
1,Gordie 
#,Boy  Names 
11,Gordon 
1,Gracyn 
7,Grady 
1,Gradyn 
8,Graeme 
16,Graham 
1,Graidon 
1,Granger 
9,Grant
1,Grantly 
2,Grayden 
4,Graydon 
3,Graysen 
9,Grayson 
2,Greg 
1,Gregor 
22,Greg ory 
3,Greyson 
1,Griffen 
23,Griffin 
1,Grifin 
2,Guerin 
1,Guillaume
1,Gulzar
2,Gunner 
1,Gurbir
1,Gurjiwan
2,Gurjot 
1,Gurkamal
1,Gurkaran
1,Gurkarmjot 
2,Gurkarn
1,Gurkirat
1,Gurkirpal
1,Gurnoor 
3,Gurpreet 
1,Gurshaan
1,Gurshan
1,Gursharan
1,Gursharn
2,Gursimran
1,Gurtek 
1,Gurvansh
1,Gurvir
1,Gustavo - Gabriel 
1,Guy 
1,Gwyr 
#,Boy  Names 
1,Hadden 
2,Haden 
1,Hadi 
1,Hadriane 
1,Hady 
1,Haeley 
1,Haider 
1,Haidyn 
1,Hail
1,Haison 
1,Hakam 
1,Hal 
2,Halen 
1,Hamadi 
1,Hamdi 
1,Hamel 
1,Hamilton 
1,Ha mish 
2,Hamza 
1,Hamzah 
1,Hamzee 
1,Han 
1,Hani 
2,Hans 
2,Harbir 
1,Harinderpal 
1,Harjap 
1,Harjeewan 
1,Harjesven 
1,Harjot 
1,Harkamal 
1,Harland 
2,Harley 
4,Harman 
1,Harmanjot 
1,Harmeet 
1,Harmen 
1,Harold 
1,Haron 
2,Haroon 
17,Harrison 
2,Harry 
1,Harsaajan 
1,Harsh 
1,Harsimronjoot 
1,Harvey 
1,Hasan 
#,Boy  Names 
2,Haseeb 
1,Hashaam 
1,Hashar 
1,Hashem 
5,Hassan 
1,Haughtman 
2,Haven 
1,Hawke
31,Hayden 
1,Haydon 
1,Haydyn 
1,Hayes 
1,Heath 
2,Heinrich 
1,Hemish 
1,Hendrick 
1,Henok 
2,Henri 
1,Henri - Rea 
14,Henry 
2,Herbert 
1,Herman 
1,Heston 
1,Hewson 
1,Hien 
1,Hieu 
1,Hilton 
3,Himmat 
3,Hoang 
2,Hogan 
1,Hogar 
1,Hokan 
3,Holden 
1,Honan 
1,Hong 
1,Hoshang 
1,Houssam 
1,Houssien 
3,Houston 
3,Howard 
1,Howie 
1,Hudeyfa 
9,Hudson 
4,Hugh 
1,Humphrey 
3,Humza 
1,Hung 
#,Boy  Names 
87,Hunter 
1,Huntyr 
2,Hussain 
1,Hussam 
4,Hussein 
2,Hussien 
2,Huu 
1,Huynh 
1,Hzriliil
4,Iain 
39,Ian 
1,Ianjon 
7,Ibrahim 
1,Igor 
1,Ijaaz 
2,Ilias 
1,Ilyaz 
1,Imel 
1,Imile 
1,Immanuel 
1,Imran 
1,Imtiaz 
1,Irfan 
1,Iric 
1,Irzadi 
56,Isaac 
3,Isaak 
42,Isaiah 
1,Isaias 
1,Isaicc 
1,Isak 
2,Ishaan 
1,Ishkaran 
1,Ishmeet 
1,Isiah 
1,Ismael 
2,Ismail 
1,Israel 
1,Israkl 
3,Issac 
1,Issak 
1,Issan 
1,Issay 
8,Ivan 
1,Izaac 
1,Izaak 
1,Izacc 
#,Boy  Names 
1,Izaiah 
1,Izak 
1,Izayah 
1,Jaafar 
18,Jace 
1,Jacey 
81,Jack 
1,Jack- Henry 
3,Jackie 
60,Jackson 
6,Jacky 
234,Jacob 
1,Jacobe 
1,Jacques 
1,Jad 
1,Jaddeus 
5,Jade 
48,Jaden 
1,Jadian 
1,Jadn 
7,Jadon 
3,Jadyn 
1,Jaecob 
1,Jaedan 
1,Jaeden 
1,Jaedhen 
1,Jaedon 
1,Jaedyn 
1,Jagan 
1,Jagbal 
2,Jagdeep 
1,Jagdev 
1,Jagdevon 
2,Jager 
1,Jagjot 
1,Jagmeet 
1,Jagr 
1,Jagteshwar 
1,Jaguar 
1,Jagur 
1,Jahanzeb 
1,Jahin 
2,Jahmar 
1,Jahson 
2,Jai 
1,Jaice 
1,Jaideep 
#,Boy  Names 
5,Jaiden 
1,Jaiman 
2,Jaime 
1,Jaisan 
1,Jaiven 
45,Jake
1,Jakeb 
1,Jakin 
28,Jakob 
2,Jakot a
1,Jakson 
1,Jakub 
1,Jakyb 
2,Jaleel 
6,Jalen 
1,Jalin 
1,Jallal 
2,Jamal 
1,Jameel 
1,Jameishan 
1,Jamel 
125,James 
1,Jameson 
1,James - Paul 
1,James - Thomas 
1,Jamey 
13,Jamie 
3,Jamieson 
2,Jamil 
2,Jamin 
1,Jamis 
1,Jamond 
1,Jan 
1,Janak 
1,Jangkou 
1,Janson 
1,Jany 
1,Jan - Yaeger 
1,Japind 
1,Japnam 
1,Jareb 
106,Jared 
1,Jared - Daniel 
2,Jarek 
7,Jaren 
1,Jaret 
1,Jareth 
#,Boy  Names 
3,Jarett 
1,Jarin 
1,Jarius 
1,Jarjay 
19,Jarod 
1,Jarome 
3,Jaron 
7,Jarred 
2,Jarret 
7,Jarrett 
1,Jarrid 
2,Jarrod 
1,Jarron 
6,Jarvis 
4,Jaryd 
1,Jaryn 
2,Jasandeep 
1,Jasdeep 
2,Jase 
1,Jasen 
1,Jashan 
1,Jashandeep 
1,Jashanjot 
1,Jashua 
4,Jaskaran 
2,Jaskarn 
1,Jaskirat
1,Jaskran 
3,Jasman 
64,Jason 
10,Jasper 
1,Jaspreet 
1,Jasvinder 
1,Jaswinder 
1,Javan 
2,Javen 
1,Javien 
1,Javier 
1,Javis 
4,Jax 
1,Jaxan 
1,Jaxen 
1,Jaxin 
18,Jaxon 
1,Jax - Sai 
2,Jaxson 
1,Jaxton 
#,Boy  Names 
6,Jay 
6,Jayce 
2,Jaycee 
1,Jaycob 
1,Jaydan 
1,Jayde 
1,Jaydean 
1,Jaydee 
64,Jayden 
3,Jaydin 
5,Jaydon 
1,Jayke
1,Jayken 
1,Jaylin 
1,Jayme 
1,Jaymen 
5,Jay son 
1,Jayten 
1,Jayton 
1,Jaytona 
1,Jayveel 
1,Jean 
1,Jean - Luc 
1,Jean - Paul 
1,Jed 
1,Jediah 
1,Jedidiah 
3,Jefferson 
3,Jeffery 
21,Jeffrey 
1,Jehad 
1,Jennen 
1,Jenner 
2,Jensen 
2,Jenson 
1,Jephrey 
1,Jerace 
3,Jerad 
1,Jerald 
1,Jeramiah 
1,Jeramy 
1,Jerdon 
7,Jeremiah 
1,Jeremie 
51,Jeremy 
1,Jeren 
4,Jericho 
#,Boy  Names 
1,Jerin 
5,Jerome 
2,Jeromy 
2,Jeron 
1,Jerrad 
1,Jerrald 
1,Jerred 
1,Jerrette 
1,Jerrick 
2,Jerrid 
1,Jerrod 
8,Jerry 
1,Jersey 
1,Jesaia 
1,Jeshonjay 
75,Jesse 
10,Jessie 
1,Jessy 
4,Jet 
2,Jethro 
8,Jett 
1,Jett - Loong 
2,Jevon 
1,Jharin 
1,Jhett 
1,Jhovit 
1,Jhujhar 
1,Jia 
4,Jihad 
5,Jimmy 
1,Jin 
2,Jirimie 
1,Jirimy 
1,Jirome 
1,Joaquin 
2,Joash 
1,Job 
2,Joben 
1,Jock 
1,Joda 
1,Jodaya 
2,Jodhvir 
1,Jodi 
2,Jody 
1,Joe 
52,Joel 
1,Joele 
#,Boy  Names 
1,Joelyn 
1,Joe - Mike
11,Joey 
1,Joffre 
4,Johan 
1,Johann 
2,Johannes 
1,Johathan 
80,John 
1,Johnan 
1,Johnanthan 
15,Johnathan 
7,Johnathon 
1,John - Henry 
1,John - James 
7,Johnny 
1,Johnothan 
1,Johnrey 
2,Johnson 
2,Johny 
1,Joil 
1,Joji 
1,Jomar 
3,Jo n
1,Jona 
29,Jonah 
1,Jonard 
9,Jonas 
80,Jonathan 
1,Jonathen 
10,Jonathon 
1,Jonaven 
1,Jorawar 
201,Jordan 
1,Jordan - Ray 
8,Jorden 
3,Jordie 
4,Jordin 
13,Jordon 
2,Jordy 
1,Jordyn 
1,Joreal 
1,Jorel 
1,Joren 
1,Jorestin 
1,Jorey 
1,Jorgen 
#,Boy  Names 
2,Jory 
1,J osam 
3,Jose 
1,Josef 
100,Joseph 
6,Josh 
1,Joshawa 
1,Joshiya 
350,Joshua 
1,Joshua - Darion 
24,Josiah 
1,Josiah - James 
1,Josph 
1,Josui 
4,Jovan 
1,Jovin 
1,Juan 
1,Juan - Diego 
1,Juangel 
3,Jude 
1,Juel 
1,Jugmeet 
19,Julian 
12,Julien 
1,Julio 
1,Junaid 
1,Junan 
1,Junho 
1,Junii 
1,Junior 
1,Junoir 
1,Jun - Sup 
1,Justen 
12,Justice 
175,Justin 
2,Justis 
1,Justise 
6,Justus 
3,Justyn 
1,Justys 
1,Kaahir 
1,Kabe 
2,Kacey 
14,Kade 
23,Kaden 
6,Kadin 
1,Kadir 
#,Boy  Names 
1,Kadrick 
3,Kadyn 
4,Kaeden 
1,Kaedom 
1,Kaedo n
3,Kael 
1,Kaelan 
2,Kaelen 
1,Kaelin 
1,Kaern 
3,Kagan 
10,Kai 
1,Kaid 
1,Kaidan 
14,Kaiden 
1,Kaidryan 
1,Kaige 
1,Kailen 
1,Kailin
1,Kailion 
1,Kaiman 
6,Kain 
2,Kaine 
1,Kaj 
2,Kal 
23,Kale 
17,Kaleb 
1,Kaleel 
1,Kaleim 
3,Kalem 
3,Kalen 
1,Kalin
1,Kalix
2,Kallen 
1,Kalub 
3,Kamal 
1,Kambal 
1,Kamden 
4,Kameron 
2,Kamil 
1,Kamiyosisi 
1,Kamran 
11,Kane 
1,Kaneda 
1,Kanyn 
1,Kapri 
1,Karam 
#,Boy  Names 
1,Karamvir 
4,Karan 
1,Karanjot 
1,Karanpreet 
3,Karanvir
1,Karar - Ali 
1,Kareem 
4,Karim 
7,Karl 
1,Karl - Ange lo 
1,Karlos 
1,Karlous 
1,Karnveer 
5,Karsen 
7,Karson 
1,Karstan 
2,Karsten 
4,Karter 
1,Kase 
1,Kashtin 
1,Kasper 
1,Kassim 
2,Kastin 
1,Katlin 
1,Kato 
1,Kaugen 
1,Kavan 
1,Kave 
1,Kavon 
1,Kayd 
1,Kaydem 
13,Kayden 
1,Kaydn 
